Informe o tempo medio entre clientes (s): Informe o tempo a ser simulado (s): 0, -NAN
10, 0.00000000011123289095
20, -0.00000000356296214754
30, -0.00000002512144242628
40, -0.00000008889834127168
50, -0.00000002548128152924
60, 0.00000003929881450815
70, -0.00000006056365497997
80, -0.00000023493710171740
90, 0.00000003243806151465
100, -0.00000011505866170936
110, -0.00000056087187405574
120, -0.00000028449141858955
130, 0.00000119312621016388
140, 0.00000012027893070421
150, 0.00000159092368712255
160, 0.00000053660570331626
170, 0.00000077400855369447
180, 0.00000006352386028308
190, -0.00000150529339348893
200, 0.00000008768452097740
210, 0.00000014894651534370
220, -0.00000086786594721833
230, -0.00000289122098673378
240, -0.00000451770099840765
250, -0.00000450251242689603
260, -0.00001147891262309741
270, -0.00000747355347519019
280, -0.00001363362958861636
290, -0.00001634780514780942
300, -0.00001967867764784970
310, -0.00001156010282721276
320, -0.00001068207480248162
330, -0.00000236597446678921
340, 0.00000090628552307237
350, -0.00000164114792777781
360, 0.00000635603227183701
370, 0.00000818603464525225
380, 0.00000903840724775229
390, -0.00000613944135796629
400, -0.00000745377954647353
410, 0.00000070367059179510
420, -0.00000150107517904452
430, 0.00001334276996378669
440, 0.00001134484707288053
450, 0.00000597432534044096
460, 0.00002262541758923931
470, 0.00003476807543911775
480, 0.00004296712508233824
490, 0.00005075853599567637
500, 0.00003869090347929927
510, 0.00003267163066089651
520, 0.00003293858327335641
530, 0.00004030359402840133
540, 0.00003058195499061611
550, 0.00003864650736451480
560, 0.00004113522927307045
570, 0.00003851232021023776
580, 0.00003877726241618973
590, 0.00002676844741067441
600, 0.00002399312196965653
610, -0.00000543204598546509
620, -0.00003379821438675989
630, -0.00002104824134319117
640, -0.00002821048061596443
650, -0.00002214355135521373
660, -0.00002375430238776843
670, 0.00000641389669375769
680, 0.00002347078244868683
690, 0.00000609483510460862
700, 0.00002703160248929137
710, -0.00000317407972660888
720, -0.00000328007854877299
730, -0.00001125646936905866
740, 0.00001241016924868887
750, 0.00000363322424501433
760, 0.00001934257480362689
770, 0.00003647978294107901
780, 0.00004216243894017424
790, 0.00004764566884807309
800, 0.00002087727291177899
810, 0.00003800634298567473
820, 0.00003213749836161739
830, 0.00006180077535500317
840, 0.00004583080404652051
850, 0.00005208830770753181
860, 0.00001921198581600336
870, 0.00001706648452071136
880, 0.00004642826769840624
890, 0.00003320435273712619
900, 0.00001336778665939065
910, 0.00005313461239486728
920, 0.00009396184406362806
930, 0.00005140101354950133
940, 0.00000308827727568683
950, 0.00000842042718351976
960, -0.00002444952106239739
